DateTime,Indoor PAR Z4 (PAR)
Mon May 1 00:22:22 2023,-0.000561667
Mon May 1 01:22:22 2023,-0.000563333
Mon May 1 02:22:22 2023,-0.0005625
Mon May 1 03:22:22 2023,-0.0005625
Mon May 1 04:22:22 2023,-0.000565
Mon May 1 05:22:22 2023,-0.000563333
Mon May 1 06:22:22 2023,3.27459
Mon May 1 07:22:22 2023,42.0091
Mon May 1 08:22:22 2023,121.033
Mon May 1 09:22:22 2023,181.911
Mon May 1 10:22:22 2023,198.319
Mon May 1 11:22:22 2023,277.586
Mon May 1 12:22:22 2023,216.589
Mon May 1 13:22:22 2023,294.432
Mon May 1 14:22:22 2023,314.985
Mon May 1 15:22:22 2023,204.278
Mon May 1 16:22:22 2023,118.655
Mon May 1 17:22:22 2023,72.4482
Mon May 1 18:22:22 2023,46.2576
Mon May 1 19:22:22 2023,21.82
Mon May 1 20:22:22 2023,0.0348858
Mon May 1 21:22:22 2023,-0.00025
Mon May 1 22:22:22 2023,-0.00025
Mon May 1 23:22:22 2023,-0.00025
Tue May 2 00:22:22 2023,-0.00025
Tue May 2 01:22:22 2023,-0.00025
Tue May 2 02:22:22 2023,-0.00025
Tue May 2 03:22:22 2023,-0.00025
Tue May 2 04:22:22 2023,-0.00025
Tue May 2 05:22:22 2023,-0.00025
Tue May 2 06:22:22 2023,3.39251
Tue May 2 07:22:22 2023,43.0068
Tue May 2 08:22:22 2023,122.85
Tue May 2 09:22:22 2023,185.809
Tue May 2 10:22:22 2023,196.3
Tue May 2 11:22:22 2023,289.058
Tue May 2 12:22:22 2023,225.554
Tue May 2 13:22:22 2023,290.548
Tue May 2 14:22:22 2023,317.226
Tue May 2 15:22:22 2023,190.294
Tue May 2 16:22:22 2023,121.512
Tue May 2 17:22:22 2023,71.7484
Tue May 2 18:22:22 2023,61.0073
Tue May 2 19:22:22 2023,28.2583
Tue May 2 20:22:22 2023,0.0436375
Tue May 2 21:22:22 2023,-0.000343333
Tue May 2 22:22:22 2023,-0.000340833
Tue May 2 23:22:22 2023,-0.000341667
Wed May 3 00:22:22 2023,-0.00034
Wed May 3 01:22:22 2023,-0.000341667
Wed May 3 02:22:22 2023,-0.000340833
Wed May 3 03:22:22 2023,-0.0003425
Wed May 3 04:22:22 2023,-0.0003425
Wed May 3 05:22:22 2023,-0.000340833
Wed May 3 06:22:22 2023,3.63261
Wed May 3 07:22:22 2023,43.1856
Wed May 3 08:22:22 2023,122.604
Wed May 3 09:22:22 2023,188.421
Wed May 3 10:22:22 2023,194.567
Wed May 3 11:22:22 2023,298.818
Wed May 3 12:22:22 2023,230.391
Wed May 3 13:22:22 2023,290.417
Wed May 3 14:22:22 2023,316.664
Wed May 3 15:22:22 2023,223.428
Wed May 3 16:22:22 2023,119.408
Wed May 3 17:22:22 2023,70.9027
Wed May 3 18:22:22 2023,70.7646
Wed May 3 19:22:22 2023,41.0013
Wed May 3 20:22:22 2023,0.0497658
Wed May 3 21:22:22 2023,9.00E-05
Wed May 3 22:22:22 2023,9.00E-05
Wed May 3 23:22:22 2023,9.00E-05
Thu May 4 00:22:22 2023,9.00E-05
Thu May 4 01:22:22 2023,9.00E-05
Thu May 4 02:22:22 2023,9.00E-05
Thu May 4 03:22:22 2023,9.00E-05
Thu May 4 04:22:22 2023,9.00E-05
Thu May 4 05:22:22 2023,8.92E-05
Thu May 4 06:22:22 2023,4.36375
Thu May 4 07:22:22 2023,41.015
Thu May 4 08:22:22 2023,117.161
Thu May 4 09:22:22 2023,191.039
Thu May 4 10:22:22 2023,195.268
Thu May 4 11:22:22 2023,308.665
Thu May 4 12:22:22 2023,234.064
Thu May 4 13:22:22 2023,282.452
Thu May 4 14:22:22 2023,289.396
Thu May 4 15:22:22 2023,224.177
Thu May 4 16:22:22 2023,135.198
Thu May 4 17:22:22 2023,77.1608
Thu May 4 18:22:22 2023,72.4243
Thu May 4 19:22:22 2023,22.8962
Thu May 4 20:22:22 2023,0.0276883
Thu May 4 21:22:22 2023,0
Thu May 4 22:22:22 2023,0
Thu May 4 23:22:22 2023,0
Fri May 5 00:22:22 2023,0
Fri May 5 01:22:22 2023,0
Fri May 5 02:22:22 2023,0
Fri May 5 03:22:22 2023,0
Fri May 5 04:22:22 2023,0
Fri May 5 05:22:22 2023,0
Fri May 5 06:22:22 2023,0.97379
Fri May 5 07:22:22 2023,21.8191
Fri May 5 08:22:22 2023,50.93
Fri May 5 09:22:22 2023,48.0629
Fri May 5 10:22:22 2023,71.4033
Fri May 5 11:22:22 2023,130.466
Fri May 5 12:22:22 2023,135.817
Fri May 5 13:22:22 2023,77.7166
Fri May 5 14:22:22 2023,91.2584
Fri May 5 15:22:22 2023,64.9121
Fri May 5 16:22:22 2023,45.3012
Fri May 5 17:22:22 2023,33.3555
Fri May 5 18:22:22 2023,12.8603
Fri May 5 19:22:22 2023,2.99815
Fri May 5 20:22:22 2023,0
Fri May 5 21:22:22 2023,0
Fri May 5 22:22:22 2023,0
Fri May 5 23:22:22 2023,0
Sat May 6 00:22:22 2023,0
Sat May 6 01:22:22 2023,0
Sat May 6 02:22:22 2023,0
Sat May 6 03:22:22 2023,0
Sat May 6 04:22:22 2023,0
Sat May 6 05:22:22 2023,0
Sat May 6 06:22:22 2023,0.90667
Sat May 6 07:22:22 2023,13.4541
Sat May 6 08:22:22 2023,38.0547
Sat May 6 09:22:22 2023,92.288
Sat May 6 10:22:22 2023,177.192
Sat May 6 11:22:22 2023,216.792
Sat May 6 12:22:22 2023,236.674
Sat May 6 13:22:22 2023,232.141
Sat May 6 14:22:22 2023,177.628
Sat May 6 15:22:22 2023,160.308
Sat May 6 16:22:22 2023,115.296
Sat May 6 17:22:22 2023,66.2605
Sat May 6 18:22:22 2023,33.5943
Sat May 6 19:22:22 2023,11.1658
Sat May 6 20:22:22 2023,0.0436875
Sat May 6 21:22:22 2023,0.00027
Sat May 6 22:22:22 2023,0.00027
Sat May 6 23:22:22 2023,0.00027
Sun May 7 00:22:22 2023,0.00027
Sun May 7 01:22:22 2023,0.00027
Sun May 7 02:22:22 2023,0.00027
Sun May 7 03:22:22 2023,0.00027
Sun May 7 04:22:22 2023,0.00027
Sun May 7 05:22:22 2023,0.00027
Sun May 7 06:22:22 2023,4.72049
Sun May 7 07:22:22 2023,41.8833
Sun May 7 08:22:22 2023,115.868
Sun May 7 09:22:22 2023,119.656
Sun May 7 10:22:22 2023,165.611
Sun May 7 11:22:22 2023,284.362
Sun May 7 12:22:22 2023,214.543
Sun May 7 13:22:22 2023,213.033
Sun May 7 14:22:22 2023,230.528
Sun May 7 15:22:22 2023,144.842
Sun May 7 16:22:22 2023,129.901
Sun May 7 17:22:22 2023,70.5742
Sun May 7 18:22:22 2023,51.9835
Sun May 7 19:22:22 2023,19.4552
Sun May 7 20:22:22 2023,0.0386783
Sun May 7 21:22:22 2023,0
Sun May 7 22:22:22 2023,0
Sun May 7 23:22:22 2023,0
Mon May 8 00:22:22 2023,0
Mon May 8 01:22:22 2023,0
Mon May 8 02:22:22 2023,0
Mon May 8 03:22:22 2023,0
Mon May 8 04:22:22 2023,0
Mon May 8 05:22:22 2023,0
Mon May 8 06:22:22 2023,0.217071
Mon May 8 07:22:22 2023,14.6303
Mon May 8 08:22:22 2023,41.1509
Mon May 8 09:22:22 2023,95.7167
Mon May 8 10:22:22 2023,194.327
Mon May 8 11:22:22 2023,296.794
Mon May 8 12:22:22 2023,281.58
Mon May 8 13:22:22 2023,238.864
Mon May 8 14:22:22 2023,158.624
Mon May 8 15:22:22 2023,174.413
Mon May 8 16:22:22 2023,132.588
Mon May 8 17:22:22 2023,86.3775
Mon May 8 18:22:22 2023,40.9914
Mon May 8 19:22:22 2023,10.8083
Mon May 8 20:22:22 2023,0.0068375
Mon May 8 21:22:22 2023,3.00E-05
Mon May 8 22:22:22 2023,3.00E-05
Mon May 8 23:22:22 2023,3.00E-05
Tue May 9 00:22:22 2023,3.00E-05
Tue May 9 01:22:22 2023,3.00E-05
Tue May 9 02:22:22 2023,3.00E-05
Tue May 9 03:22:22 2023,3.00E-05
Tue May 9 04:22:22 2023,3.00E-05
Tue May 9 05:22:22 2023,3.00E-05
Tue May 9 06:22:22 2023,1.46769
Tue May 9 07:22:22 2023,12.4607
Tue May 9 08:22:22 2023,50.6259
Tue May 9 09:22:22 2023,102.227
Tue May 9 10:22:22 2023,109.012
Tue May 9 11:22:22 2023,262.199
Tue May 9 12:22:22 2023,266.278
Tue May 9 13:22:22 2023,267.451
Tue May 9 14:22:22 2023,177.937
Tue May 9 15:22:22 2023,149.825
Tue May 9 16:22:22 2023,128.402
Tue May 9 17:22:22 2023,110.236
Tue May 9 18:22:22 2023,38.4798
Tue May 9 19:22:22 2023,15.9886
Tue May 9 20:22:22 2023,0.278213
Tue May 9 21:22:22 2023,0.00025
Tue May 9 22:22:22 2023,0.00025
Tue May 9 23:22:22 2023,0.00025
Wed May 10 00:22:22 2023,0.00025
Wed May 10 01:22:22 2023,0.00025
Wed May 10 02:22:22 2023,0.00025
Wed May 10 03:22:22 2023,0.000249167
Wed May 10 04:22:22 2023,0.00025
Wed May 10 05:22:22 2023,0.00025
Wed May 10 06:22:22 2023,5.16718
Wed May 10 07:22:22 2023,45.0332
Wed May 10 08:22:22 2023,123.46
Wed May 10 09:22:22 2023,203.334
Wed May 10 10:22:22 2023,201.135
Wed May 10 11:22:22 2023,329.965
Wed May 10 12:22:22 2023,264.406
Wed May 10 13:22:22 2023,252.483
Wed May 10 14:22:22 2023,277.211
Wed May 10 15:22:22 2023,244.57
Wed May 10 16:22:22 2023,154.199
Wed May 10 17:22:22 2023,94.6843
Wed May 10 18:22:22 2023,64.2498
Wed May 10 19:22:22 2023,22.7451
Wed May 10 20:22:22 2023,0.0580242
Wed May 10 21:22:22 2023,-0.000725833
Wed May 10 22:22:22 2023,-0.000729167
Wed May 10 23:22:22 2023,-0.000726667
Thu May 11 00:22:22 2023,-0.000723333
Thu May 11 01:22:22 2023,-0.000725
Thu May 11 02:22:22 2023,-0.000725
Thu May 11 03:22:22 2023,-0.0007275
Thu May 11 04:22:22 2023,-0.000725833
Thu May 11 05:22:22 2023,-0.000725833
Thu May 11 06:22:22 2023,3.90167
Thu May 11 07:22:22 2023,24.2473
Thu May 11 08:22:22 2023,86.6671
Thu May 11 09:22:22 2023,162.448
Thu May 11 10:22:22 2023,165.091
Thu May 11 11:22:22 2023,155.875
Thu May 11 12:22:22 2023,85.9165
Thu May 11 13:22:22 2023,101.219
Thu May 11 14:22:22 2023,190.379
Thu May 11 15:22:22 2023,243.136
Thu May 11 16:22:22 2023,128.882
Thu May 11 17:22:22 2023,76.6997
Thu May 11 18:22:22 2023,52.9946
Thu May 11 19:22:22 2023,18.6654
Thu May 11 20:22:22 2023,0.0687983
Thu May 11 21:22:22 2023,-0.0008375
Thu May 11 22:22:22 2023,-0.0008375
Thu May 11 23:22:22 2023,-0.000838333
Fri May 12 00:22:22 2023,-0.000833333
Fri May 12 01:22:22 2023,-0.000834167
Fri May 12 02:22:22 2023,-0.000835833
Fri May 12 03:22:22 2023,-0.000839167
Fri May 12 04:22:22 2023,-0.00084
Fri May 12 05:22:22 2023,-0.000836667
Fri May 12 06:22:22 2023,5.63469
Fri May 12 07:22:22 2023,38.2795
Fri May 12 08:22:22 2023,45.3375
Fri May 12 09:22:22 2023,47.853
Fri May 12 10:22:22 2023,71.9738
Fri May 12 11:22:22 2023,43.6309
Fri May 12 12:22:22 2023,156.689
Fri May 12 13:22:22 2023,114.365
Fri May 12 14:22:22 2023,175.337
Fri May 12 15:22:22 2023,230.629
Fri May 12 16:22:22 2023,144.477
Fri May 12 17:22:22 2023,44.2248
Fri May 12 18:22:22 2023,30.5994
Fri May 12 19:22:22 2023,3.42793
Fri May 12 20:22:22 2023,-0.00109417
Fri May 12 21:22:22 2023,-0.00109667
Fri May 12 22:22:22 2023,-0.00109333
Fri May 12 23:22:22 2023,-0.00109583
Sat May 13 00:22:22 2023,-0.0010925
Sat May 13 01:22:22 2023,-0.00109583
Sat May 13 02:22:22 2023,-0.00109333
Sat May 13 03:22:22 2023,-0.00109083
Sat May 13 04:22:22 2023,-0.00109667
Sat May 13 05:22:22 2023,-0.00109583
Sat May 13 06:22:22 2023,3.70119
Sat May 13 07:22:22 2023,26.2165
Sat May 13 08:22:22 2023,53.7734
Sat May 13 09:22:22 2023,73.9834
Sat May 13 10:22:22 2023,117.4
Sat May 13 11:22:22 2023,280.294
Sat May 13 12:22:22 2023,271.53
Sat May 13 13:22:22 2023,287.717
Sat May 13 14:22:22 2023,272.881
Sat May 13 15:22:22 2023,236.159
Sat May 13 16:22:22 2023,150.531
Sat May 13 17:22:22 2023,96.3526
Sat May 13 18:22:22 2023,41.8166
Sat May 13 19:22:22 2023,14.0237
Sat May 13 20:22:22 2023,0.130503
Sat May 13 21:22:22 2023,-0.000985
Sat May 13 22:22:22 2023,-0.000983333
Sat May 13 23:22:22 2023,-0.000985833
Sun May 14 00:22:22 2023,-0.000978333
Sun May 14 01:22:22 2023,-0.000984167
Sun May 14 02:22:22 2023,-0.000981667
Sun May 14 03:22:22 2023,-0.000986667
Sun May 14 04:22:22 2023,-0.00098
Sun May 14 05:22:22 2023,-0.000984167
Sun May 14 06:22:22 2023,5.91345
Sun May 14 07:22:22 2023,45.0517
Sun May 14 08:22:22 2023,125.508
Sun May 14 09:22:22 2023,190.589
Sun May 14 10:22:22 2023,204.086
Sun May 14 11:22:22 2023,319.19
Sun May 14 12:22:22 2023,263.547
Sun May 14 13:22:22 2023,231.346
Sun May 14 14:22:22 2023,202.511
Sun May 14 15:22:22 2023,186.637
Sun May 14 16:22:22 2023,132.338
Sun May 14 17:22:22 2023,82.1689
Sun May 14 18:22:22 2023,78.2065
Sun May 14 19:22:22 2023,21.6915
Sun May 14 20:22:22 2023,0.0802108
Sun May 14 21:22:22 2023,0
Sun May 14 22:22:22 2023,0
Sun May 14 23:22:22 2023,0
Mon May 15 00:22:22 2023,0
Mon May 15 01:22:22 2023,0
Mon May 15 02:22:22 2023,0
Mon May 15 03:22:22 2023,0
Mon May 15 04:22:22 2023,0
Mon May 15 05:22:22 2023,0
Mon May 15 06:22:22 2023,5.37646
Mon May 15 07:22:22 2023,42.4232
Mon May 15 08:22:22 2023,120.73
Mon May 15 09:22:22 2023,174.314
Mon May 15 10:22:22 2023,186.635
Mon May 15 11:22:22 2023,276.008
Mon May 15 12:22:22 2023,208.318
Mon May 15 13:22:22 2023,160.787
Mon May 15 14:22:22 2023,170.011
Mon May 15 15:22:22 2023,214.434
Mon May 15 16:22:22 2023,148.124
Mon May 15 17:22:22 2023,61.5092
Mon May 15 18:22:22 2023,27.7026
Mon May 15 19:22:22 2023,9.09608
Mon May 15 20:22:22 2023,0.0543258
Mon May 15 21:22:22 2023,0.00016
Mon May 15 22:22:22 2023,0.00016
Mon May 15 23:22:22 2023,0.00016
Tue May 16 00:22:22 2023,0.00016
Tue May 16 01:22:22 2023,0.00016
Tue May 16 02:22:22 2023,0.00016
Tue May 16 03:22:22 2023,0.00016
Tue May 16 04:22:22 2023,0.00016
Tue May 16 05:22:22 2023,0.00016
Tue May 16 06:22:22 2023,7.07815
Tue May 16 07:22:22 2023,18.3823
Tue May 16 08:22:22 2023,85.9689
Tue May 16 09:22:22 2023,134.179
Tue May 16 10:22:22 2023,177.753
Tue May 16 11:22:22 2023,297.751
Tue May 16 12:22:22 2023,217.821
Tue May 16 13:22:22 2023,288.001
Tue May 16 14:22:22 2023,205.584
Tue May 16 15:22:22 2023,253.391
Tue May 16 16:22:22 2023,82.2715
Tue May 16 17:22:22 2023,21.0405
Tue May 16 18:22:22 2023,2.74318
Tue May 16 19:22:22 2023,1.37435
Tue May 16 20:22:22 2023,0.0005275
Tue May 16 21:22:22 2023,0.0005225
Tue May 16 22:22:22 2023,0.000526667
Tue May 16 23:22:22 2023,0.000525
Wed May 17 00:22:22 2023,0.000524167
Wed May 17 01:22:22 2023,0.000524167
Wed May 17 02:22:22 2023,0.000523333
Wed May 17 03:22:22 2023,0.000521667
Wed May 17 04:22:22 2023,0.000523333
Wed May 17 05:22:22 2023,0.0005275
Wed May 17 06:22:22 2023,4.57697
Wed May 17 07:22:22 2023,48.179
Wed May 17 08:22:22 2023,83.2907
Wed May 17 09:22:22 2023,137.114
Wed May 17 10:22:22 2023,102.387
Wed May 17 11:22:22 2023,160.197
Wed May 17 12:22:22 2023,181.101
Wed May 17 13:22:22 2023,122.185
Wed May 17 14:22:22 2023,237.056
Wed May 17 15:22:22 2023,153.486
Wed May 17 16:22:22 2023,39.5783
Wed May 17 17:22:22 2023,68.8189
Wed May 17 18:22:22 2023,47.6821
Wed May 17 19:22:22 2023,11.9669
Wed May 17 20:22:22 2023,0.110337
Wed May 17 21:22:22 2023,0.000450833
Wed May 17 22:22:22 2023,0.000449167
Wed May 17 23:22:22 2023,0.000450833
Thu May 18 00:22:22 2023,0.000450833
Thu May 18 01:22:22 2023,0.0004525
Thu May 18 02:22:22 2023,0.000451667
Thu May 18 03:22:22 2023,0.000449167
Thu May 18 04:22:22 2023,0.00045
Thu May 18 05:22:22 2023,0.00045
Thu May 18 06:22:22 2023,2.77598
Thu May 18 07:22:22 2023,21.8697
Thu May 18 08:22:22 2023,21.7782
Thu May 18 09:22:22 2023,25.6791
Thu May 18 10:22:22 2023,40.1824
Thu May 18 11:22:22 2023,72.6437
Thu May 18 12:22:22 2023,139.88
Thu May 18 13:22:22 2023,154.973
Thu May 18 14:22:22 2023,112.594
Thu May 18 15:22:22 2023,60.4892
Thu May 18 16:22:22 2023,14.4926
Thu May 18 17:22:22 2023,12.651
Thu May 18 18:22:22 2023,11.0886
Thu May 18 19:22:22 2023,3.99735
Thu May 18 20:22:22 2023,0.218976
Thu May 18 21:22:22 2023,0.000381667
Thu May 18 22:22:22 2023,0.000379167
Thu May 18 23:22:22 2023,0.000258333
Fri May 19 00:22:22 2023,0
Fri May 19 01:22:22 2023,0
Fri May 19 02:22:22 2023,0
Fri May 19 03:22:22 2023,0
Fri May 19 04:22:22 2023,0
Fri May 19 05:22:22 2023,0
Fri May 19 06:22:22 2023,2.11219
Fri May 19 07:22:22 2023,19.6459
Fri May 19 08:22:22 2023,66.6868
Fri May 19 09:22:22 2023,96.6967
Fri May 19 10:22:22 2023,131.654
Fri May 19 11:22:22 2023,179.694
Fri May 19 12:22:22 2023,210.308
Fri May 19 13:22:22 2023,189.862
Fri May 19 14:22:22 2023,123.543
Fri May 19 15:22:22 2023,174.334
Fri May 19 16:22:22 2023,102.389
Fri May 19 17:22:22 2023,92.4287
Fri May 19 18:22:22 2023,60.552
Fri May 19 19:22:22 2023,38.7281
Fri May 19 20:22:22 2023,0.338673
Fri May 19 21:22:22 2023,1.00E-05
Fri May 19 22:22:22 2023,1.00E-05
Fri May 19 23:22:22 2023,1.00E-05
Sat May 20 00:22:22 2023,1.00E-05
Sat May 20 01:22:22 2023,1.00E-05
Sat May 20 02:22:22 2023,1.00E-05
Sat May 20 03:22:22 2023,1.00E-05
Sat May 20 04:22:22 2023,1.00E-05
Sat May 20 05:22:22 2023,1.00E-05
Sat May 20 06:22:22 2023,2.58094
Sat May 20 07:22:22 2023,11.4968
Sat May 20 08:22:22 2023,48.6796
Sat May 20 09:22:22 2023,57.6574
Sat May 20 10:22:22 2023,155.386
Sat May 20 11:22:22 2023,155.695
Sat May 20 12:22:22 2023,174.728
Sat May 20 13:22:22 2023,128.183
Sat May 20 14:22:22 2023,148.026
Sat May 20 15:22:22 2023,192.042
Sat May 20 16:22:22 2023,129.027
Sat May 20 17:22:22 2023,78.4665
Sat May 20 18:22:22 2023,57.8661
Sat May 20 19:22:22 2023,13.2789
Sat May 20 20:22:22 2023,0.140566
Sat May 20 21:22:22 2023,-0.00016
Sat May 20 22:22:22 2023,-0.00016
Sat May 20 23:22:22 2023,-0.00016
Sun May 21 00:22:22 2023,-0.00016
Sun May 21 01:22:22 2023,-0.00016
Sun May 21 02:22:22 2023,-0.00016
Sun May 21 03:22:22 2023,-0.00016
Sun May 21 04:22:22 2023,-0.00016
Sun May 21 05:22:22 2023,-0.00016
Sun May 21 06:22:22 2023,7.32919
Sun May 21 07:22:22 2023,41.942
Sun May 21 08:22:22 2023,112.518
Sun May 21 09:22:22 2023,150.452
Sun May 21 10:22:22 2023,135.575
Sun May 21 11:22:22 2023,144.748
Sun May 21 12:22:22 2023,178.895
Sun May 21 13:22:22 2023,236.732
Sun May 21 14:22:22 2023,199.363
Sun May 21 15:22:22 2023,179.394
Sun May 21 16:22:22 2023,132.359
Sun May 21 17:22:22 2023,97.3767
Sun May 21 18:22:22 2023,57.6908
Sun May 21 19:22:22 2023,21.6528
Sun May 21 20:22:22 2023,0.207162
Sun May 21 21:22:22 2023,-0.000179167
Sun May 21 22:22:22 2023,-0.00018
Sun May 21 23:22:22 2023,-0.00018
Mon May 22 00:22:22 2023,-0.00018
Mon May 22 01:22:22 2023,-0.00018
Mon May 22 02:22:22 2023,-0.00018
Mon May 22 03:22:22 2023,-0.00018
Mon May 22 04:22:22 2023,-0.000179167
Mon May 22 05:22:22 2023,-0.00018
Mon May 22 06:22:22 2023,2.78025
Mon May 22 07:22:22 2023,27.4284
Mon May 22 08:22:22 2023,74.4896
Mon May 22 09:22:22 2023,98.3151