DateTime,Indoor RH Z4 (%)
Mon May 1 00:11:01 2023,34.1243
Mon May 1 01:11:01 2023,34.7924
Mon May 1 02:11:01 2023,34.0206
Mon May 1 03:11:01 2023,34.2181
Mon May 1 04:11:01 2023,33.9116
Mon May 1 05:11:01 2023,34.4761
Mon May 1 06:11:01 2023,33.9208
Mon May 1 07:11:01 2023,38.485
Mon May 1 08:11:01 2023,37.3295
Mon May 1 09:11:01 2023,31.7736
Mon May 1 10:11:01 2023,25.8303
Mon May 1 11:11:01 2023,35.3766
Mon May 1 12:11:01 2023,29.5041
Mon May 1 13:11:01 2023,32.1419
Mon May 1 14:11:01 2023,30.8457
Mon May 1 15:11:01 2023,30.7733
Mon May 1 16:11:01 2023,29.4579
Mon May 1 17:11:01 2023,20.2016
Mon May 1 18:11:01 2023,21.1448
Mon May 1 19:11:01 2023,25.3772
Mon May 1 20:11:01 2023,27.003
Mon May 1 21:11:01 2023,25.8797
Mon May 1 22:11:01 2023,27.7442
Mon May 1 23:11:01 2023,29.1091
Tue May 2 00:11:01 2023,29.9856
Tue May 2 01:11:01 2023,30.4779
Tue May 2 02:11:01 2023,30.2802
Tue May 2 03:11:01 2023,29.9286
Tue May 2 04:11:01 2023,29.8587
Tue May 2 05:11:01 2023,29.4509
Tue May 2 06:11:01 2023,30.0953
Tue May 2 07:11:01 2023,30.9364
Tue May 2 08:11:01 2023,30.5299
Tue May 2 09:11:01 2023,27.5028
Tue May 2 10:11:01 2023,27.0665
Tue May 2 11:11:01 2023,34.3222
Tue May 2 12:11:01 2023,35.6658
Tue May 2 13:11:01 2023,26.8008
Tue May 2 14:11:01 2023,34.3846
Tue May 2 15:11:01 2023,29.9897
Tue May 2 16:11:01 2023,23.6983
Tue May 2 17:11:01 2023,22.666
Tue May 2 18:11:01 2023,22.5246
Tue May 2 19:11:01 2023,25.1593
Tue May 2 20:11:01 2023,29.429
Tue May 2 21:11:01 2023,27.7046
Tue May 2 22:11:01 2023,26.7034
Tue May 2 23:11:01 2023,27.2208
Wed May 3 00:11:01 2023,27.6204
Wed May 3 01:11:01 2023,27.3111
Wed May 3 02:11:01 2023,27.2756
Wed May 3 03:11:01 2023,28.1994
Wed May 3 04:11:01 2023,28.4142
Wed May 3 05:11:01 2023,28.8195
Wed May 3 06:11:01 2023,28.5065
Wed May 3 07:11:01 2023,30.6244
Wed May 3 08:11:01 2023,30.5465
Wed May 3 09:11:01 2023,26.4616
Wed May 3 10:11:01 2023,18.0729
Wed May 3 11:11:01 2023,28.9509
Wed May 3 12:11:01 2023,27.9492
Wed May 3 13:11:01 2023,31.9296
Wed May 3 14:11:01 2023,27.3761
Wed May 3 15:11:01 2023,36.9396
Wed May 3 16:11:01 2023,37.1635
Wed May 3 17:11:01 2023,29.4248
Wed May 3 18:11:01 2023,24.708
Wed May 3 19:11:01 2023,27.617
Wed May 3 20:11:01 2023,33.1429
Wed May 3 21:11:01 2023,34.6623
Wed May 3 22:11:01 2023,35.5083
Wed May 3 23:11:01 2023,36.4772
Thu May 4 00:11:01 2023,36.6678
Thu May 4 01:11:01 2023,37.3427
Thu May 4 02:11:01 2023,38.0552
Thu May 4 03:11:01 2023,37.1819
Thu May 4 04:11:01 2023,36.0079
Thu May 4 05:11:01 2023,36.5556
Thu May 4 06:11:01 2023,36.2317
Thu May 4 07:11:01 2023,37.3713
Thu May 4 08:11:01 2023,37.9068
Thu May 4 09:11:01 2023,31.327
Thu May 4 10:11:01 2023,31.1117
Thu May 4 11:11:01 2023,35.7266
Thu May 4 12:11:01 2023,35.7956
Thu May 4 13:11:01 2023,35.6322
Thu May 4 14:11:01 2023,37.7988
Thu May 4 15:11:01 2023,37.559
Thu May 4 16:11:01 2023,35.6207
Thu May 4 17:11:01 2023,27.4449
Thu May 4 18:11:01 2023,26.899
Thu May 4 19:11:01 2023,29.3313
Thu May 4 20:11:01 2023,37.0661
Thu May 4 21:11:01 2023,40.9267
Thu May 4 22:11:01 2023,41.4706
Thu May 4 23:11:01 2023,42.7899
Fri May 5 00:11:01 2023,43.3818
Fri May 5 01:11:01 2023,43.7892
Fri May 5 02:11:01 2023,43.8805
Fri May 5 03:11:01 2023,44.6608
Fri May 5 04:11:01 2023,44.7759
Fri May 5 05:11:01 2023,42.4971
Fri May 5 06:11:01 2023,43.4896
Fri May 5 07:11:01 2023,44.8444
Fri May 5 08:11:01 2023,47.7284
Fri May 5 09:11:01 2023,48.8408
Fri May 5 10:11:01 2023,49.8368
Fri May 5 11:11:01 2023,45.1181
Fri May 5 12:11:01 2023,43.1731
Fri May 5 13:11:01 2023,49.5913
Fri May 5 14:11:01 2023,65.7412
Fri May 5 15:11:01 2023,72.3642
Fri May 5 16:11:01 2023,77.91
Fri May 5 17:11:01 2023,79.1101
Fri May 5 18:11:01 2023,72.9073
Fri May 5 19:11:01 2023,69.8341
Fri May 5 20:11:01 2023,64.7027
Fri May 5 21:11:01 2023,61.5211
Fri May 5 22:11:01 2023,60.0397
Fri May 5 23:11:01 2023,61.4992
Sat May 6 00:11:01 2023,61.1383
Sat May 6 01:11:01 2023,60.2753
Sat May 6 02:11:01 2023,60.311
Sat May 6 03:11:01 2023,60.2239
Sat May 6 04:11:01 2023,60.2953
Sat May 6 05:11:01 2023,60.8607
Sat May 6 06:11:01 2023,60.804
Sat May 6 07:11:01 2023,65.2383
Sat May 6 08:11:01 2023,74.6613
Sat May 6 09:11:01 2023,74.1096
Sat May 6 10:11:01 2023,62.2853
Sat May 6 11:11:01 2023,54.5065
Sat May 6 12:11:01 2023,52.8483
Sat May 6 13:11:01 2023,54.5498
Sat May 6 14:11:01 2023,48.9213
Sat May 6 15:11:01 2023,46.599
Sat May 6 16:11:01 2023,50.2109
Sat May 6 17:11:01 2023,53.9628
Sat May 6 18:11:01 2023,54.8669
Sat May 6 19:11:01 2023,59.9495
Sat May 6 20:11:01 2023,69.6186
Sat May 6 21:11:01 2023,73.9966
Sat May 6 22:11:01 2023,71.1475
Sat May 6 23:11:01 2023,70.5297
Sun May 7 00:11:01 2023,71.5143
Sun May 7 01:11:01 2023,71.1107
Sun May 7 02:11:01 2023,71.5774
Sun May 7 03:11:01 2023,69.5727
Sun May 7 04:11:01 2023,68.3141
Sun May 7 05:11:01 2023,68.4777
Sun May 7 06:11:01 2023,68.1257
Sun May 7 07:11:01 2023,75.4322
Sun May 7 08:11:01 2023,69.8682
Sun May 7 09:11:01 2023,59.7836
Sun May 7 10:11:01 2023,57.3082
Sun May 7 11:11:01 2023,58.4154
Sun May 7 12:11:01 2023,58.0785
Sun May 7 13:11:01 2023,60.4941
Sun May 7 14:11:01 2023,59.2369
Sun May 7 15:11:01 2023,60.225
Sun May 7 16:11:01 2023,59.9781
Sun May 7 17:11:01 2023,67.4731
Sun May 7 18:11:01 2023,66.0932
Sun May 7 19:11:01 2023,60.0936
Sun May 7 20:11:01 2023,68.2912
Sun May 7 21:11:01 2023,76.2139
Sun May 7 22:11:01 2023,82.7212
Sun May 7 23:11:01 2023,86.2435
Mon May 8 00:11:01 2023,88.8207
Mon May 8 01:11:01 2023,90.4409
Mon May 8 02:11:01 2023,85.9131
Mon May 8 03:11:01 2023,80.4163
Mon May 8 04:11:01 2023,80.4924
Mon May 8 05:11:01 2023,78.7578
Mon May 8 06:11:01 2023,80.7806
Mon May 8 07:11:01 2023,80.3807
Mon May 8 08:11:01 2023,87.6682
Mon May 8 09:11:01 2023,84.7407
Mon May 8 10:11:01 2023,63.8294
Mon May 8 11:11:01 2023,63.8009
Mon May 8 12:11:01 2023,64.7434
Mon May 8 13:11:01 2023,60.1195
Mon May 8 14:11:01 2023,56.6549
Mon May 8 15:11:01 2023,64.427
Mon May 8 16:11:01 2023,59.7293
Mon May 8 17:11:01 2023,59.123
Mon May 8 18:11:01 2023,61.0323
Mon May 8 19:11:01 2023,67.4251
Mon May 8 20:11:01 2023,77.8487
Mon May 8 21:11:01 2023,86.0139
Mon May 8 22:11:01 2023,90.016
Mon May 8 23:11:01 2023,90.5817
Tue May 9 00:11:01 2023,92.5892
Tue May 9 01:11:01 2023,93.8967
Tue May 9 02:11:01 2023,94.819
Tue May 9 03:11:01 2023,95.4782
Tue May 9 04:11:01 2023,90.2714
Tue May 9 05:11:01 2023,87.7086
Tue May 9 06:11:01 2023,92.7557
Tue May 9 07:11:01 2023,95.8742
Tue May 9 08:11:01 2023,93.8679
Tue May 9 09:11:01 2023,81.4545
Tue May 9 10:11:01 2023,66.0519
Tue May 9 11:11:01 2023,68.0985
Tue May 9 12:11:01 2023,67.323
Tue May 9 13:11:01 2023,66.6643
Tue May 9 14:11:01 2023,68.6701
Tue May 9 15:11:01 2023,72.5167
Tue May 9 16:11:01 2023,71.3902
Tue May 9 17:11:01 2023,67.4338
Tue May 9 18:11:01 2023,72.329
Tue May 9 19:11:01 2023,61.2102
Tue May 9 20:11:01 2023,61.9843
Tue May 9 21:11:01 2023,68.1046
Tue May 9 22:11:01 2023,79.1106
Tue May 9 23:11:01 2023,85.71
Wed May 10 00:11:01 2023,89.1664
Wed May 10 01:11:01 2023,91.1021
Wed May 10 02:11:01 2023,88.6177
Wed May 10 03:11:01 2023,86.9819
Wed May 10 04:11:01 2023,83.3348
Wed May 10 05:11:01 2023,81.8819
Wed May 10 06:11:01 2023,79.8455
Wed May 10 07:11:01 2023,80.5534
Wed May 10 08:11:01 2023,63.7919
Wed May 10 09:11:01 2023,51.1446
Wed May 10 10:11:01 2023,57.6311
Wed May 10 11:11:01 2023,55.7267
Wed May 10 12:11:01 2023,54.7108
Wed May 10 13:11:01 2023,53.3103
Wed May 10 14:11:01 2023,54.1767
Wed May 10 15:11:01 2023,55.4341
Wed May 10 16:11:01 2023,53.8051
Wed May 10 17:11:01 2023,47.3867
Wed May 10 18:11:01 2023,44.5151
Wed May 10 19:11:01 2023,47.6799
Wed May 10 20:11:01 2023,55.6101
Wed May 10 21:11:01 2023,63.0591
Wed May 10 22:11:01 2023,68.3041
Wed May 10 23:11:01 2023,72.7104
Thu May 11 00:11:01 2023,75.8144
Thu May 11 01:11:01 2023,79.0834
Thu May 11 02:11:01 2023,81.1529
Thu May 11 03:11:01 2023,82.4965
Thu May 11 04:11:01 2023,83.0442
Thu May 11 05:11:01 2023,80.5859
Thu May 11 06:11:01 2023,81.2233
Thu May 11 07:11:01 2023,83.2172
Thu May 11 08:11:01 2023,74.6459
Thu May 11 09:11:01 2023,63.7696
Thu May 11 10:11:01 2023,54.0628
Thu May 11 11:11:01 2023,58.5487
Thu May 11 12:11:01 2023,53.2131
Thu May 11 13:11:01 2023,58.6389
Thu May 11 14:11:01 2023,55.1115
Thu May 11 15:11:01 2023,58.5318
Thu May 11 16:11:01 2023,57.9623
Thu May 11 17:11:01 2023,59.7574
Thu May 11 18:11:01 2023,54.9405
Thu May 11 19:11:01 2023,56.3277
Thu May 11 20:11:01 2023,64.5293
Thu May 11 21:11:01 2023,71.8206
Thu May 11 22:11:01 2023,76.6611
Thu May 11 23:11:01 2023,79.3637
Fri May 12 00:11:01 2023,80.7908
Fri May 12 01:11:01 2023,76.3689
Fri May 12 02:11:01 2023,75.9158
Fri May 12 03:11:01 2023,75.1717
Fri May 12 04:11:01 2023,77.5473
Fri May 12 05:11:01 2023,79.2484
Fri May 12 06:11:01 2023,81.5175
Fri May 12 07:11:01 2023,82.0863
Fri May 12 08:11:01 2023,79.9803
Fri May 12 09:11:01 2023,88.7594
Fri May 12 10:11:01 2023,82.3551
Fri May 12 11:11:01 2023,92.0743
Fri May 12 12:11:01 2023,85.8956
Fri May 12 13:11:01 2023,69.1982
Fri May 12 14:11:01 2023,71.5286
Fri May 12 15:11:01 2023,70.0124
Fri May 12 16:11:01 2023,64.9438
Fri May 12 17:11:01 2023,71.5921
Fri May 12 18:11:01 2023,78.608
Fri May 12 19:11:01 2023,83.6625
Fri May 12 20:11:01 2023,91.0626
Fri May 12 21:11:01 2023,96.0881
Fri May 12 22:11:01 2023,97.3013
Fri May 12 23:11:01 2023,94.8706
Sat May 13 00:11:01 2023,92.5688
Sat May 13 01:11:01 2023,88.8323
Sat May 13 02:11:01 2023,87.5351
Sat May 13 03:11:01 2023,85.0689
Sat May 13 04:11:01 2023,84.7911
Sat May 13 05:11:01 2023,81.676
Sat May 13 06:11:01 2023,84.9004
Sat May 13 07:11:01 2023,91.2251
Sat May 13 08:11:01 2023,88.3504
Sat May 13 09:11:01 2023,80.1594
Sat May 13 10:11:01 2023,75.4962
Sat May 13 11:11:01 2023,69.5658
Sat May 13 12:11:01 2023,64.6838
Sat May 13 13:11:01 2023,60.242
Sat May 13 14:11:01 2023,59.9387
Sat May 13 15:11:01 2023,59.1442
Sat May 13 16:11:01 2023,60.6595
Sat May 13 17:11:01 2023,61.7156
Sat May 13 18:11:01 2023,61.8268
Sat May 13 19:11:01 2023,58.2226
Sat May 13 20:11:01 2023,65.3325
Sat May 13 21:11:01 2023,74.7
Sat May 13 22:11:01 2023,81.0461
Sat May 13 23:11:01 2023,87.2459
Sun May 14 00:11:01 2023,90.5478
Sun May 14 01:11:01 2023,92.2098
Sun May 14 02:11:01 2023,93.0855
Sun May 14 03:11:01 2023,93.6277
Sun May 14 04:11:01 2023,92.4341
Sun May 14 05:11:01 2023,88.6711
Sun May 14 06:11:01 2023,89.7874
Sun May 14 07:11:01 2023,88.1252
Sun May 14 08:11:01 2023,77.2443
Sun May 14 09:11:01 2023,67.8262
Sun May 14 10:11:01 2023,65.1267
Sun May 14 11:11:01 2023,60.0142
Sun May 14 12:11:01 2023,57.87
Sun May 14 13:11:01 2023,58.2627
Sun May 14 14:11:01 2023,60.3048
Sun May 14 15:11:01 2023,61.5637
Sun May 14 16:11:01 2023,62.0683
Sun May 14 17:11:01 2023,62.8169
Sun May 14 18:11:01 2023,68.5294
Sun May 14 19:11:01 2023,74.1892
Sun May 14 20:11:01 2023,78.4407
Sun May 14 21:11:01 2023,79.5411
Sun May 14 22:11:01 2023,82.8559
Sun May 14 23:11:01 2023,88.3148
Mon May 15 00:11:01 2023,90.2429
Mon May 15 01:11:01 2023,90.9705
Mon May 15 02:11:01 2023,91.8793
Mon May 15 03:11:01 2023,92.2512
Mon May 15 04:11:01 2023,92.7286
Mon May 15 05:11:01 2023,93.1087
Mon May 15 06:11:01 2023,93.3685
Mon May 15 07:11:01 2023,88.6321
Mon May 15 08:11:01 2023,74.8855
Mon May 15 09:11:01 2023,66.0656
Mon May 15 10:11:01 2023,69.1674
Mon May 15 11:11:01 2023,67.3673
Mon May 15 12:11:01 2023,65.3602
Mon May 15 13:11:01 2023,66.5833
Mon May 15 14:11:01 2023,66.7083
Mon May 15 15:11:01 2023,63.3207
Mon May 15 16:11:01 2023,63.0719
Mon May 15 17:11:01 2023,65.1755
Mon May 15 18:11:01 2023,63.4758
Mon May 15 19:11:01 2023,66.6268
Mon May 15 20:11:01 2023,69.5904
Mon May 15 21:11:01 2023,75.5216
Mon May 15 22:11:01 2023,84.2574
Mon May 15 23:11:01 2023,89.5113
Tue May 16 00:11:01 2023,90.964
Tue May 16 01:11:01 2023,92.3719
Tue May 16 02:11:01 2023,93.0299
Tue May 16 03:11:01 2023,94.1002
Tue May 16 04:11:01 2023,95.1292
Tue May 16 05:11:01 2023,96.6569
Tue May 16 06:11:01 2023,96.9514
Tue May 16 07:11:01 2023,95.7007
Tue May 16 08:11:01 2023,86.9616
Tue May 16 09:11:01 2023,73.1714
Tue May 16 10:11:01 2023,77.8218
Tue May 16 11:11:01 2023,73.1679
Tue May 16 12:11:01 2023,67.4419
Tue May 16 13:11:01 2023,67.3777
Tue May 16 14:11:01 2023,64.3912
Tue May 16 15:11:01 2023,63.3818
Tue May 16 16:11:01 2023,65.5271
Tue May 16 17:11:01 2023,89.2239
Tue May 16 18:11:01 2023,95.5153
Tue May 16 19:11:01 2023,97.4103
Tue May 16 20:11:01 2023,98.7472
Tue May 16 21:11:01 2023,100.064
Tue May 16 22:11:01 2023,100.907
Tue May 16 23:11:01 2023,96.8225
Wed May 17 00:11:01 2023,95.3967
Wed May 17 01:11:01 2023,95.6539
Wed May 17 02:11:01 2023,94.087
Wed May 17 03:11:01 2023,94.2379
Wed May 17 04:11:01 2023,91.7807
Wed May 17 05:11:01 2023,91.2176
Wed May 17 06:11:01 2023,90.5291
Wed May 17 07:11:01 2023,94.0187
Wed May 17 08:11:01 2023,88.0264
Wed May 17 09:11:01 2023,73.6344
Wed May 17 10:11:01 2023,72.6766
Wed May 17 11:11:01 2023,70.8972
Wed May 17 12:11:01 2023,70.4169
Wed May 17 13:11:01 2023,77.8689
Wed May 17 14:11:01 2023,69.2499
Wed May 17 15:11:01 2023,65.1862
Wed May 17 16:11:01 2023,73.4835
Wed May 17 17:11:01 2023,72.4893
Wed May 17 18:11:01 2023,70.1825
Wed May 17 19:11:01 2023,73.8702
Wed May 17 20:11:01 2023,82.6604
Wed May 17 21:11:01 2023,90.4031
Wed May 17 22:11:01 2023,93.5751
Wed May 17 23:11:01 2023,91.8474
Thu May 18 00:11:01 2023,89.5958
Thu May 18 01:11:01 2023,88.8182
Thu May 18 02:11:01 2023,85.556
Thu May 18 03:11:01 2023,85.4992
Thu May 18 04:11:01 2023,87.8125
Thu May 18 05:11:01 2023,86.7973
Thu May 18 06:11:01 2023,88.7314
Thu May 18 07:11:01 2023,92.7822
Thu May 18 08:11:01 2023,90.5459
Thu May 18 09:11:01 2023,94.9086
Thu May 18 10:11:01 2023,93.6645
Thu May 18 11:11:01 2023,91.8437
Thu May 18 12:11:01 2023,76.6821
Thu May 18 13:11:01 2023,64.5088
Thu May 18 14:11:01 2023,61.2175
Thu May 18 15:11:01 2023,69.903
Thu May 18 16:11:01 2023,78.6964
Thu May 18 17:11:01 2023,90.8463
Thu May 18 18:11:01 2023,86.4194
Thu May 18 19:11:01 2023,83.8277
Thu May 18 20:11:01 2023,73.6126
Thu May 18 21:11:01 2023,73.0237
Thu May 18 22:11:01 2023,71.9575
Thu May 18 23:11:01 2023,70.1886
Fri May 19 00:11:01 2023,68.7323
Fri May 19 01:11:01 2023,68.942
Fri May 19 02:11:01 2023,65.6887
Fri May 19 03:11:01 2023,66.5204
Fri May 19 04:11:01 2023,65.1344
Fri May 19 05:11:01 2023,66.3196
Fri May 19 06:11:01 2023,65.2954
Fri May 19 07:11:01 2023,71.3192
Fri May 19 08:11:01 2023,72.6863
Fri May 19 09:11:01 2023,68.4448
Fri May 19 10:11:01 2023,69.1708
Fri May 19 11:11:01 2023,60.5869
Fri May 19 12:11:01 2023,50.9353
Fri May 19 13:11:01 2023,54.437
Fri May 19 14:11:01 2023,57.8806
Fri May 19 15:11:01 2023,52.0691
Fri May 19 16:11:01 2023,56.0747
Fri May 19 17:11:01 2023,57.0133
Fri May 19 18:11:01 2023,56.0378
Fri May 19 19:11:01 2023,60.2822
Fri May 19 20:11:01 2023,71.4968
Fri May 19 21:11:01 2023,78.4806
Fri May 19 22:11:01 2023,78.132
Fri May 19 23:11:01 2023,79.8505
Sat May 20 00:11:01 2023,80.41
Sat May 20 01:11:01 2023,79.9141
Sat May 20 02:11:01 2023,80.0248
Sat May 20 03:11:01 2023,78.3959
Sat May 20 04:11:01 2023,79.0649
Sat May 20 05:11:01 2023,78.6141
Sat May 20 06:11:01 2023,80.1508
Sat May 20 07:11:01 2023,84.5399
Sat May 20 08:11:01 2023,86.5689
Sat May 20 09:11:01 2023,86.0292
Sat May 20 10:11:01 2023,76.5275
Sat May 20 11:11:01 2023,72.5524
Sat May 20 12:11:01 2023,73.0327
Sat May 20 13:11:01 2023,67.5902
Sat May 20 14:11:01 2023,68.2179
Sat May 20 15:11:01 2023,72.2211
Sat May 20 16:11:01 2023,67.5853
Sat May 20 17:11:01 2023,75.5445
Sat May 20 18:11:01 2023,66.9059
Sat May 20 19:11:01 2023,71.0775
Sat May 20 20:11:01 2023,79.9251
Sat May 20 21:11:01 2023,86.3307
Sat May 20 22:11:01 2023,90.4467
Sat May 20 23:11:01 2023,95.9869
Sun May 21 00:11:01 2023,94.4536
Sun May 21 01:11:01 2023,90.8313
Sun May 21 02:11:01 2023,86.5643
Sun May 21 03:11:01 2023,83.7837
Sun May 21 04:11:01 2023,84.3857
Sun May 21 05:11:01 2023,81.8209
Sun May 21 06:11:01 2023,81.7988
Sun May 21 07:11:01 2023,84.4827
Sun May 21 08:11:01 2023,76.5288
Sun May 21 09:11:01 2023,69.2069
Sun May 21 10:11:01 2023,60.5243
Sun May 21 11:11:01 2023,63.2017
Sun May 21 12:11:01 2023,60.7059
Sun May 21 13:11:01 2023,67.7676
Sun May 21 14:11:01 2023,65.8186
Sun May 21 15:11:01 2023,65.0084
Sun May 21 16:11:01 2023,64.8213
Sun May 21 17:11:01 2023,61.7837
Sun May 21 18:11:01 2023,60.18
Sun May 21 19:11:01 2023,67.0668
Sun May 21 20:11:01 2023,76.6209
Sun May 21 21:11:01 2023,85.8719
Sun May 21 22:11:01 2023,90.2039
Sun May 21 23:11:01 2023,92.1382
Mon May 22 00:11:01 2023,93.1119
Mon May 22 01:11:01 2023,88.1946
Mon May 22 02:11:01 2023,88.3326
Mon May 22 03:11:01 2023,89.7371
Mon May 22 04:11:01 2023,88.6768
Mon May 22 05:11:01 2023,87.8091
Mon May 22 06:11:01 2023,86.8809
Mon May 22 07:11:01 2023,87.3779
Mon May 22 08:11:01 2023,77.7094
Mon May 22 09:11:01 2023,64.0759