date-time,temperature_f
Sun Apr 30 10:36:16 2023,76.5524
Sun Apr 30 11:06:16 2023,82.1867
Sun Apr 30 11:36:16 2023,82.5397
Sun Apr 30 12:06:16 2023,84.7015
Sun Apr 30 12:36:16 2023,84.6944
Sun Apr 30 13:06:16 2023,84.3976
Sun Apr 30 13:36:16 2023,84.5119
Sun Apr 30 14:06:16 2023,84.6785
Sun Apr 30 14:36:16 2023,84.891
Sun Apr 30 15:06:16 2023,84.4557
Sun Apr 30 15:36:16 2023,84.7271
Sun Apr 30 16:06:16 2023,85.8734
Sun Apr 30 16:36:16 2023,84.0489
Sun Apr 30 17:06:16 2023,83.6335
Sun Apr 30 17:36:16 2023,84.4346
Sun Apr 30 18:06:16 2023,82.3051
Sun Apr 30 18:36:16 2023,80.7999
Sun Apr 30 19:06:16 2023,76.9993
Sun Apr 30 19:36:16 2023,74.5088
Sun Apr 30 20:06:16 2023,75.6403
Sun Apr 30 20:36:16 2023,76.0251
Sun Apr 30 21:06:16 2023,76.4877
Sun Apr 30 21:36:16 2023,75.8323
Sun Apr 30 22:06:16 2023,76.0646
Sun Apr 30 22:36:16 2023,76.3824
Sun Apr 30 23:06:16 2023,75.9903
Sun Apr 30 23:36:16 2023,76.5608
Mon May 1 00:06:16 2023,76.1301
Mon May 1 00:36:16 2023,76.2001
Mon May 1 01:06:16 2023,76.4784
Mon May 1 01:36:16 2023,76.344
Mon May 1 02:06:16 2023,76.2481
Mon May 1 02:36:16 2023,76.5294
Mon May 1 03:06:16 2023,76.7656
Mon May 1 03:36:16 2023,76.9966
Mon May 1 04:06:16 2023,76.778
Mon May 1 04:36:16 2023,76.4994
Mon May 1 05:06:16 2023,76.8753
Mon May 1 05:36:16 2023,76.9547
Mon May 1 06:06:16 2023,77.2163
Mon May 1 06:36:16 2023,77.0803
Mon May 1 07:06:16 2023,76.2879
Mon May 1 07:36:16 2023,77.2851
Mon May 1 08:06:16 2023,75.7408
Mon May 1 08:36:16 2023,80.7416
Mon May 1 09:06:16 2023,82.6345
Mon May 1 09:36:16 2023,82.6458
Mon May 1 10:06:16 2023,83.0375
Mon May 1 10:36:16 2023,84.3337
Mon May 1 11:06:16 2023,84.3869
Mon May 1 11:36:16 2023,83.2221
Mon May 1 12:06:16 2023,84.8282
Mon May 1 12:36:16 2023,83.7566
Mon May 1 13:06:16 2023,83.9363
Mon May 1 13:36:16 2023,84.1367
Mon May 1 14:06:16 2023,84.6902
Mon May 1 14:36:16 2023,83.8396
Mon May 1 15:06:16 2023,84.7605
Mon May 1 15:36:16 2023,83.5416
Mon May 1 16:06:16 2023,83.7286
Mon May 1 16:36:16 2023,84.3567
Mon May 1 17:06:16 2023,84.9127
Mon May 1 17:36:16 2023,83.1192
Mon May 1 18:06:16 2023,81.9127
Mon May 1 18:36:16 2023,81.2481
Mon May 1 19:06:16 2023,77.9857
Mon May 1 19:36:16 2023,74.9577
Mon May 1 20:06:16 2023,75.9015
Mon May 1 20:36:16 2023,76.183
Mon May 1 21:06:16 2023,78.635
Mon May 1 21:36:16 2023,76.0136
Mon May 1 22:06:16 2023,76.3456
Mon May 1 22:36:16 2023,76.0722
Mon May 1 23:06:16 2023,76.2509
Mon May 1 23:36:16 2023,76.5579
Tue May 2 00:06:16 2023,76.4866
Tue May 2 00:36:16 2023,75.8899
Tue May 2 01:06:16 2023,76.5541
Tue May 2 01:36:16 2023,76.5981
Tue May 2 02:06:16 2023,76.2225
Tue May 2 02:36:16 2023,76.3658
Tue May 2 03:06:16 2023,76.255
Tue May 2 03:36:16 2023,76.5106
Tue May 2 04:06:16 2023,77.3575
Tue May 2 04:36:16 2023,76.8379
Tue May 2 05:06:16 2023,76.6534
Tue May 2 05:36:16 2023,76.6705
Tue May 2 06:06:16 2023,76.5873
Tue May 2 06:36:16 2023,76.8673
Tue May 2 07:06:16 2023,76.5301
Tue May 2 07:36:16 2023,76.9451
Tue May 2 08:06:16 2023,76.4687
Tue May 2 08:36:16 2023,80.7072
Tue May 2 09:06:16 2023,82.916
Tue May 2 09:36:16 2023,84.2567
Tue May 2 10:06:16 2023,85.5047
Tue May 2 10:36:16 2023,84.472
Tue May 2 11:06:16 2023,83.7378
Tue May 2 11:36:16 2023,84.7503
Tue May 2 12:06:16 2023,84.0721
Tue May 2 12:36:16 2023,83.2581
Tue May 2 13:06:16 2023,84.6684
Tue May 2 13:36:16 2023,83.6988
Tue May 2 14:06:16 2023,84.1043
Tue May 2 14:36:16 2023,83.9942
Tue May 2 15:06:16 2023,84.6086
Tue May 2 15:36:16 2023,84.7497
Tue May 2 16:06:16 2023,84.8862
Tue May 2 16:36:16 2023,84.8087
Tue May 2 17:06:16 2023,84.2485
Tue May 2 17:36:16 2023,82.5709
Tue May 2 18:06:16 2023,82.9016
Tue May 2 18:36:16 2023,81.669
Tue May 2 19:06:16 2023,79.6912
Tue May 2 19:36:16 2023,76.6931
Tue May 2 20:06:16 2023,74.9046
Tue May 2 20:36:16 2023,75.7833
Tue May 2 21:06:16 2023,75.5548
Tue May 2 21:36:16 2023,75.4912
Tue May 2 22:06:16 2023,76.9648
Tue May 2 22:36:16 2023,75.7069
Tue May 2 23:06:16 2023,76.5452
Tue May 2 23:36:16 2023,75.7399
Wed May 3 00:06:16 2023,76.5805
Wed May 3 00:36:16 2023,76.3824
Wed May 3 01:06:16 2023,76.047
Wed May 3 01:36:16 2023,76.015
Wed May 3 02:06:16 2023,77.1063
Wed May 3 02:36:16 2023,77.0174
Wed May 3 03:06:16 2023,76.3238
Wed May 3 03:36:16 2023,77.2288
Wed May 3 04:06:16 2023,76.6036
Wed May 3 04:36:16 2023,77.0492
Wed May 3 05:06:16 2023,76.689
Wed May 3 05:36:16 2023,77.0952
Wed May 3 06:06:16 2023,77.3933
Wed May 3 06:36:16 2023,77.3498
Wed May 3 07:06:16 2023,76.3861
Wed May 3 07:36:16 2023,76.2574
Wed May 3 08:06:16 2023,75.0343
Wed May 3 08:36:16 2023,80.0359
Wed May 3 09:06:16 2023,82.7178
Wed May 3 09:36:16 2023,84.1608
Wed May 3 10:06:16 2023,84.1507
Wed May 3 10:36:16 2023,85.1891
Wed May 3 11:06:16 2023,83.9238
Wed May 3 11:36:16 2023,84.3619
Wed May 3 12:06:16 2023,85.0792
Wed May 3 12:36:16 2023,83.2191
Wed May 3 13:06:16 2023,84.5937
Wed May 3 13:36:16 2023,84.2792
Wed May 3 14:06:16 2023,84.0658
Wed May 3 14:36:16 2023,85.5146
Wed May 3 15:06:16 2023,83.9519
Wed May 3 15:36:16 2023,84.212
Wed May 3 16:06:16 2023,83.3299
Wed May 3 16:36:16 2023,84.0322
Wed May 3 17:06:16 2023,83.4304
Wed May 3 17:36:16 2023,84.6445
Wed May 3 18:06:16 2023,83.1381
Wed May 3 18:36:16 2023,81.7473
Wed May 3 19:06:16 2023,80.0278
Wed May 3 19:36:16 2023,76.9467
Wed May 3 20:06:16 2023,75.0034
Wed May 3 20:36:16 2023,75.607
Wed May 3 21:06:16 2023,75.7751
Wed May 3 21:36:16 2023,75.5548
Wed May 3 22:06:16 2023,76.1649
Wed May 3 22:36:16 2023,76.5349
Wed May 3 23:06:16 2023,76.2754
Wed May 3 23:36:16 2023,75.8384
Thu May 4 00:06:16 2023,76.8779
Thu May 4 00:36:16 2023,76.058
Thu May 4 01:06:16 2023,76.0904
Thu May 4 01:36:16 2023,76.2584
Thu May 4 02:06:16 2023,76.3691
Thu May 4 02:36:16 2023,76.9196
Thu May 4 03:06:16 2023,76.1906
Thu May 4 03:36:16 2023,76.2352
Thu May 4 04:06:16 2023,76.6559
Thu May 4 04:36:16 2023,76.8206
Thu May 4 05:06:16 2023,77.0346
Thu May 4 05:36:16 2023,76.4093
Thu May 4 06:06:16 2023,76.9748
Thu May 4 06:36:16 2023,77.2719
Thu May 4 07:06:16 2023,76.1651
Thu May 4 07:36:16 2023,75.9885
Thu May 4 08:06:16 2023,74.7647
Thu May 4 08:36:16 2023,80.6328
Thu May 4 09:06:16 2023,82.7218
Thu May 4 09:36:16 2023,85.4744
Thu May 4 10:06:16 2023,83.976
Thu May 4 10:36:16 2023,84.3905
Thu May 4 11:06:16 2023,84.1513
Thu May 4 11:36:16 2023,83.3768
Thu May 4 12:06:16 2023,84.5319
Thu May 4 12:36:16 2023,84.5197
Thu May 4 13:06:16 2023,84.376
Thu May 4 13:36:16 2023,84.4967
Thu May 4 14:06:16 2023,84.5027
Thu May 4 14:36:16 2023,83.2193
Thu May 4 15:06:16 2023,84.5622
Thu May 4 15:36:16 2023,84.768
Thu May 4 16:06:16 2023,84.6981
Thu May 4 16:36:16 2023,84.7893
Thu May 4 17:06:16 2023,84.5423
Thu May 4 17:36:16 2023,86.0421
Thu May 4 18:06:16 2023,83.6484
Thu May 4 18:36:16 2023,82.7784
Thu May 4 19:06:16 2023,81.2206
Thu May 4 19:36:16 2023,78.5009
Thu May 4 20:06:16 2023,75.3349
Thu May 4 20:36:16 2023,74.9071
Thu May 4 21:06:16 2023,75.769
Thu May 4 21:36:16 2023,74.8006
Thu May 4 22:06:16 2023,75.8422
Thu May 4 22:36:16 2023,76.0902
Thu May 4 23:06:16 2023,76.1439
Thu May 4 23:36:16 2023,76.3438
Fri May 5 00:06:16 2023,75.8406
Fri May 5 00:36:16 2023,76.3669
Fri May 5 01:06:16 2023,76.3074
Fri May 5 01:36:16 2023,76.1544
Fri May 5 02:06:16 2023,76.603
Fri May 5 02:36:16 2023,75.8119
Fri May 5 03:06:16 2023,76.8279
Fri May 5 03:36:16 2023,76.0201
Fri May 5 04:06:16 2023,76.4155
Fri May 5 04:36:16 2023,76.4696
Fri May 5 05:06:16 2023,76.029
Fri May 5 05:36:16 2023,76.1365
Fri May 5 06:06:16 2023,76.3156
Fri May 5 06:36:16 2023,76.1812
Fri May 5 07:06:16 2023,76.0682
Fri May 5 07:36:16 2023,76.9599
Fri May 5 08:06:16 2023,74.2101
Fri May 5 08:36:16 2023,74.1995
Fri May 5 09:06:16 2023,75.0965
Fri May 5 09:36:16 2023,75.0559
Fri May 5 10:06:16 2023,74.8779
Fri May 5 10:36:16 2023,76.4859
Fri May 5 11:06:16 2023,76.9697
Fri May 5 11:36:16 2023,79.3592
Fri May 5 12:06:16 2023,82.6786
Fri May 5 12:36:16 2023,82.1441
Fri May 5 13:06:16 2023,82.0055
Fri May 5 13:36:16 2023,79.1862
Fri May 5 14:06:16 2023,76.5947
Fri May 5 14:36:16 2023,76.1713
Fri May 5 15:06:16 2023,76.0948
Fri May 5 15:36:16 2023,75.4789
Fri May 5 16:06:16 2023,73.8054
Fri May 5 16:36:16 2023,75.7506
Fri May 5 17:06:16 2023,74.0777
Fri May 5 17:36:16 2023,75.3018
Fri May 5 18:06:16 2023,75.1885
Fri May 5 18:36:16 2023,76.0564
Fri May 5 19:06:16 2023,75.4196
Fri May 5 19:36:16 2023,76.1544
Fri May 5 20:06:16 2023,75.8098
Fri May 5 20:36:16 2023,76.2265
Fri May 5 21:06:16 2023,75.7522
Fri May 5 21:36:16 2023,76.0564
Fri May 5 22:06:16 2023,76.1031
Fri May 5 22:36:16 2023,75.9205
Fri May 5 23:06:16 2023,76.472
Fri May 5 23:36:16 2023,76.3469
Sat May 6 00:06:16 2023,76.1798
Sat May 6 00:36:16 2023,76.427
Sat May 6 01:06:16 2023,76.1729
Sat May 6 01:36:16 2023,76.0409
Sat May 6 02:06:16 2023,76.0953
Sat May 6 02:36:16 2023,76.0916
Sat May 6 03:06:16 2023,76.0748
Sat May 6 03:36:16 2023,76.2586
Sat May 6 04:06:16 2023,76.6092
Sat May 6 04:36:16 2023,76.7106
Sat May 6 05:06:16 2023,76.1423
Sat May 6 05:36:16 2023,75.9543
Sat May 6 06:06:16 2023,76.003
Sat May 6 06:36:16 2023,76.7431
Sat May 6 07:06:16 2023,76.2933
Sat May 6 07:36:16 2023,75.9558
Sat May 6 08:06:16 2023,75.7717
Sat May 6 08:36:16 2023,74.7536
Sat May 6 09:06:16 2023,75.0025
Sat May 6 09:36:16 2023,76.7736
Sat May 6 10:06:16 2023,79.2801
Sat May 6 10:36:16 2023,84.5235
Sat May 6 11:06:16 2023,84.4418
Sat May 6 11:36:16 2023,84.1738
Sat May 6 12:06:16 2023,85.0293
Sat May 6 12:36:16 2023,84.4778
Sat May 6 13:06:16 2023,84.9205
Sat May 6 13:36:16 2023,84.9143
Sat May 6 14:06:16 2023,85.0999
Sat May 6 14:36:16 2023,85.6264
Sat May 6 15:06:16 2023,85.7786
Sat May 6 15:36:16 2023,85.337
Sat May 6 16:06:16 2023,84.8751
Sat May 6 16:36:16 2023,84.747
Sat May 6 17:06:16 2023,82.6564
Sat May 6 17:36:16 2023,82.0337
Sat May 6 18:06:16 2023,81.5987
Sat May 6 18:36:16 2023,81.0851
Sat May 6 19:06:16 2023,79.6067
Sat May 6 19:36:16 2023,77.8816
Sat May 6 20:06:16 2023,76.4071
Sat May 6 20:36:16 2023,75.0293
Sat May 6 21:06:16 2023,73.6614
Sat May 6 21:36:16 2023,75.1677
Sat May 6 22:06:16 2023,74.7519
Sat May 6 22:36:16 2023,75.1075
Sat May 6 23:06:16 2023,75.6892
Sat May 6 23:36:16 2023,76.2893
Sun May 7 00:06:16 2023,75.4955
Sun May 7 00:36:16 2023,75.222
Sun May 7 01:06:16 2023,76.2626
Sun May 7 01:36:16 2023,75.8062
Sun May 7 02:06:16 2023,75.306
Sun May 7 02:36:16 2023,75.53
Sun May 7 03:06:16 2023,75.2069
Sun May 7 03:36:16 2023,76.3675
Sun May 7 04:06:16 2023,75.518
Sun May 7 04:36:16 2023,75.9343
Sun May 7 05:06:16 2023,76.1775
Sun May 7 05:36:16 2023,76.4289
Sun May 7 06:06:16 2023,76.1623
Sun May 7 06:36:16 2023,76.2514
Sun May 7 07:06:16 2023,76.027
Sun May 7 07:36:16 2023,74.4398
Sun May 7 08:06:16 2023,78.7417
Sun May 7 08:36:16 2023,82.432
Sun May 7 09:06:16 2023,83.0171
Sun May 7 09:36:16 2023,82.3616
Sun May 7 10:06:16 2023,82.5165
Sun May 7 10:36:16 2023,83.5423
Sun May 7 11:06:16 2023,85.7559
Sun May 7 11:36:16 2023,85.4451
Sun May 7 12:06:16 2023,85.2125
Sun May 7 12:36:16 2023,86.0303
Sun May 7 13:06:16 2023,84.6805
Sun May 7 13:36:16 2023,85.8141
Sun May 7 14:06:16 2023,86.0054
Sun May 7 14:36:16 2023,85.8384
Sun May 7 15:06:16 2023,86.6093
Sun May 7 15:36:16 2023,84.7303
Sun May 7 16:06:16 2023,85.6793
Sun May 7 16:36:16 2023,85.8241
Sun May 7 17:06:16 2023,84.7923
Sun May 7 17:36:16 2023,84.1439
Sun May 7 18:06:16 2023,84.108
Sun May 7 18:36:16 2023,85.3799
Sun May 7 19:06:16 2023,85.8789
Sun May 7 19:36:16 2023,83.7693
Sun May 7 20:06:16 2023,80.8347
Sun May 7 20:36:16 2023,78.7328
Sun May 7 21:06:16 2023,77.4222
Sun May 7 21:36:16 2023,76.6511
Sun May 7 22:06:16 2023,75.9045
Sun May 7 22:36:16 2023,75.4752
Sun May 7 23:06:16 2023,74.9533
Sun May 7 23:36:16 2023,74.6161
Mon May 8 00:06:16 2023,74.1551
Mon May 8 00:36:16 2023,73.8015
Mon May 8 01:06:16 2023,73.8397
Mon May 8 01:36:16 2023,73.6168
Mon May 8 02:06:16 2023,73.6796
Mon May 8 02:36:16 2023,74.6251
Mon May 8 03:06:16 2023,74.6993
Mon May 8 03:36:16 2023,75.5294
Mon May 8 04:06:16 2023,73.6759
Mon May 8 04:36:16 2023,75.8163
Mon May 8 05:06:16 2023,75.2195
Mon May 8 05:36:16 2023,75.4684
Mon May 8 06:06:16 2023,75.3535
Mon May 8 06:36:16 2023,73.7451
Mon May 8 07:06:16 2023,75.4853
Mon May 8 07:36:16 2023,75.4432
Mon May 8 08:06:16 2023,74.6313
Mon May 8 08:36:16 2023,74.9324
Mon May 8 09:06:16 2023,76.8119
Mon May 8 09:36:16 2023,79.0248
Mon May 8 10:06:16 2023,83.4782
Mon May 8 10:36:16 2023,85.6923
Mon May 8 11:06:16 2023,85.7575
Mon May 8 11:36:16 2023,84.5276
Mon May 8 12:06:16 2023,86.1985
Mon May 8 12:36:16 2023,84.9837
Mon May 8 13:06:16 2023,86.7189
Mon May 8 13:36:16 2023,85.2677
Mon May 8 14:06:16 2023,86.4313
Mon May 8 14:36:16 2023,83.7951
Mon May 8 15:06:16 2023,84.556
Mon May 8 15:36:16 2023,84.7539
Mon May 8 16:06:16 2023,85.3715
Mon May 8 16:36:16 2023,86.5778
Mon May 8 17:06:16 2023,85.0033
Mon May 8 17:36:16 2023,85.6146
Mon May 8 18:06:16 2023,84.7767
Mon May 8 18:36:16 2023,83.9272
Mon May 8 19:06:16 2023,82.7957
Mon May 8 19:36:16 2023,81.3943
Mon May 8 20:06:16 2023,80.0215
Mon May 8 20:36:16 2023,78.9512
Mon May 8 21:06:16 2023,78.0801
Mon May 8 21:36:16 2023,77.2594
Mon May 8 22:06:16 2023,76.7438
Mon May 8 22:36:16 2023,76.6723
Mon May 8 23:06:16 2023,76.781
Mon May 8 23:36:16 2023,76.4927
Tue May 9 00:06:16 2023,76.1239
Tue May 9 00:36:16 2023,75.6515
Tue May 9 01:06:16 2023,75.128
Tue May 9 01:36:16 2023,74.7373
Tue May 9 02:06:16 2023,74.4249
Tue May 9 02:36:16 2023,74.0595
Tue May 9 03:06:16 2023,73.6753
Tue May 9 03:36:16 2023,73.3523
Tue May 9 04:06:16 2023,76.1929
Tue May 9 04:36:16 2023,73.6592
Tue May 9 05:06:16 2023,75.8376
Tue May 9 05:36:16 2023,74.2206
Tue May 9 06:06:16 2023,75.2621
Tue May 9 06:36:16 2023,73.4851
Tue May 9 07:06:16 2023,73.639
Tue May 9 07:36:16 2023,74.2362
Tue May 9 08:06:16 2023,75.2818
Tue May 9 08:36:16 2023,77.4375
Tue May 9 09:06:16 2023,81.4705
Tue May 9 09:36:16 2023,83.5447
Tue May 9 10:06:16 2023,85.1492
Tue May 9 10:36:16 2023,86.0763
Tue May 9 11:06:16 2023,86.6787
Tue May 9 11:36:16 2023,85.7327
Tue May 9 12:06:16 2023,86.0923
Tue May 9 12:36:16 2023,87.5789
Tue May 9 13:06:16 2023,87.5079
Tue May 9 13:36:16 2023,87.3003
Tue May 9 14:06:16 2023,87.4776
Tue May 9 14:36:16 2023,84.8297
Tue May 9 15:06:16 2023,84.628
Tue May 9 15:36:16 2023,84.5336
Tue May 9 16:06:16 2023,84.0127
Tue May 9 16:36:16 2023,85.1904
Tue May 9 17:06:16 2023,84.7556
Tue May 9 17:36:16 2023,85.6696
Tue May 9 18:06:16 2023,84.246
Tue May 9 18:36:16 2023,83.7979
Tue May 9 19:06:16 2023,82.7265
Tue May 9 19:36:16 2023,83.1432
Tue May 9 20:06:16 2023,82.167
Tue May 9 20:36:16 2023,80.2476
Tue May 9 21:06:16 2023,78.7663
Tue May 9 21:36:16 2023,77.3325
Tue May 9 22:06:16 2023,76.5914
Tue May 9 22:36:16 2023,75.7553
Tue May 9 23:06:16 2023,75.3037
Tue May 9 23:36:16 2023,75.0599
Wed May 10 00:06:16 2023,74.832
Wed May 10 00:36:16 2023,74.471
Wed May 10 01:06:16 2023,73.8556
Wed May 10 01:36:16 2023,73.4717
Wed May 10 02:06:16 2023,73.2739
Wed May 10 02:36:16 2023,76.0537
Wed May 10 03:06:16 2023,74.5683
Wed May 10 03:36:16 2023,75.0585
Wed May 10 04:06:16 2023,75.4988
Wed May 10 04:36:16 2023,75.0132
Wed May 10 05:06:16 2023,74.9692
Wed May 10 05:36:16 2023,75.3027
Wed May 10 06:06:16 2023,75.6035
Wed May 10 06:36:16 2023,75.5214
Wed May 10 07:06:16 2023,74.2694
Wed May 10 07:36:16 2023,76.2469
Wed May 10 08:06:16 2023,81.348
Wed May 10 08:36:16 2023,82.8387
Wed May 10 09:06:16 2023,85.7417
Wed May 10 09:36:16 2023,84.9626
Wed May 10 10:06:16 2023,83.9689
Wed May 10 10:36:16 2023,85.7292
Wed May 10 11:06:16 2023,85.076
Wed May 10 11:36:16 2023,84.9487
Wed May 10 12:06:16 2023,85.7323
Wed May 10 12:36:16 2023,85.791
Wed May 10 13:06:16 2023,86.3072
Wed May 10 13:36:16 2023,86.5915
Wed May 10 14:06:16 2023,86.0292
Wed May 10 14:36:16 2023,86.3387
Wed May 10 15:06:16 2023,85.278
Wed May 10 15:36:16 2023,85.656
Wed May 10 16:06:16 2023,85.5208
Wed May 10 16:36:16 2023,84.734
Wed May 10 17:06:16 2023,85.5021
Wed May 10 17:36:16 2023,85.06
Wed May 10 18:06:16 2023,86.2433
Wed May 10 18:36:16 2023,85.1323
Wed May 10 19:06:16 2023,85.6641
Wed May 10 19:36:16 2023,83.3578
Wed May 10 20:06:16 2023,81.3962
Wed May 10 20:36:16 2023,79.7223
Wed May 10 21:06:16 2023,78.3467
Wed May 10 21:36:16 2023,77.6948
Wed May 10 22:06:16 2023,77.278
Wed May 10 22:36:16 2023,77.0178
Wed May 10 23:06:16 2023,76.7934
Wed May 10 23:36:16 2023,76.5307
Thu May 11 00:06:16 2023,76.298
Thu May 11 00:36:16 2023,75.9227
Thu May 11 01:06:16 2023,75.4654
Thu May 11 01:36:16 2023,75.2157
Thu May 11 02:06:16 2023,75.0607
Thu May 11 02:36:16 2023,74.7943
